token_type,token_address,receiver,amount,id
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,411.814,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x8c0ad528b58b83b50206C81AD35631C02478039b,937.2655993,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xF24b73A328dF29cdde804aCF605B8722aD5030DA,599.1438416,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x3A542300159d084382e228EC8F54A402451E5A67,195.008293,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x8565faab405b06936014C8b6bD5Ab60376Cc051B,172.4845644,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x00dEcFEec5d6D9D77275CFdc1e447cF284Ae13e2,154.1910918,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x54008ab19ae9D2AB8b3751B3Be11Bb562aF1a578,144.6060505,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xd281F988242C900d67fF2aafABe683B8004Ee778,143.6047412,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x0883090dA1AfEcbD88Cd18e5Df1A671A13cA8f77,124.3710056,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xd0548DbBc3683a6C0B6A98445372C403585Dea20,95.90028867,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xF981a33484E26Cab32963AA37618c4440Abf67cf,95.8551851,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x59bdFB381CA2080D0D042903e776D3DCb548050A,68.62536028,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xF036e411717bf8E123c245Ff5A7604DABE0Ab1ca,58.9509643,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x67fC284F546B2C5eCEb2DBE438d063A73192e6D4,45.99582337,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x4a39beD3F97ac8e4774b7407dE7090E7A1050A69,42.50223641,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xc5Df8672232f1C2b75310e4f2B80863721705a12,39.78644613,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x99655CA16C742b46A4a05AFAf0f7798C336Fd279,37.76992408,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x947ebecd725e07baC225363F328De957AA5819b3,35.10554109,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xf2B9ec5724dC97362A53907c0b4cc0AA72369e63,29.81990294,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x15464A146107F673CfBe094540cFc3CE2fec9Fa1,29.49276482,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,28.71768509,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x2143bC6e4994Abb9C23C37F565C846FE36DEfCeA,28.53167843,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xaB9786A5e330B50e44579132b8A3Cf7C1c3A9517,20.83154462,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xCdD402E52AC33A54f60415C38CaD2Db6DEBe01a5,19.8944368,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xe7ef5F4803E85f91871Bc8f4a609b954F2112ac9,19.88980066,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x9fBD237a72292a475D6470b7bE99a9c237D28fdA,19.54825063,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xF1E34bdc4D2316f27a5A61E2d5679292Faf67A4f,19.1649516,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x4177a5c0E2369F6830A4c3825aFc8fB3Dd47790D,16.89157592,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x1e204ED6B3BC5e976c5103EfF2f624BcCB8D8bC1,16.77620355,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x605572243c30Af7493707C9c8E8aA2Ee25537e9A,15.38003116,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x52555b437EeE8F55a7897B4E1F8fB3e7Edb2b344,14.37360829,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xe7d51F5419dd26320a8d75507f214c8deF731bF8,13.66210424,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x86c7e05B935eC835610531Ae5c716e081FABc828,13.28731732,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x7af4922fc22037D573e889201bE7C38E42f22220,12.62008628,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xb74125Df13CB9194D93d8b62e0DB30352f2B8001,11.94416482,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xB27f6Df486ef5dEE2e3A4DC4f257DD63E5A5e371,11.75833678,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x1163E75d2bf3E0ffDB3602FBe0aBA099D5c20e3c,10.78507651,
