token_type,token_address,receiver,amount,id
erc20,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0x8565faab405b06936014C8b6bD5Ab60376Cc051B,26.10885521,
erc20,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0x59bdFB381CA2080D0D042903e776D3DCb548050A,18.14027595,
erc20,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0x4a39beD3F97ac8e4774b7407dE7090E7A1050A69,9.550540911,
erc20,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0xe5Ae5AAc9A19Ec43aBdd161e95640A1cc12aE348,6.527213804,
erc20,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0xe7d51F5419dd26320a8d75507f214c8deF731bF8,3.562944927,
erc20,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0xb74125Df13CB9194D93d8b62e0DB30352f2B8001,3.020820657,
erc20,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0xbed58fA67Bd966A40460b42f065DccCb0fD4fE4f,2.618718178,
erc20,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0x46dA6594F8f4bfe15daA4a45119EA4bF47Ba4006,2.516606445,
erc20,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0xF3080047c88F0561B310dfa4e79592F277E13B26,2.271365968,
erc20,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0xDeE45f774FA311199c5900e7C99A609E27EdCd4E,1.827619865,
erc20,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,1.697075589,
erc20,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0xb7b1Cc940Cc88640089028d4910De22E39e6D117,1.587418397,
erc20,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0x636bFC1dAde24c7E60E5807795E4534D42cb5803,1.431313552,
erc20,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0xe0f1F6d9b57DB098a1c786a835A55A1Ff64d39EE,1.305442761,
erc20,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0xd281F988242C900d67fF2aafABe683B8004Ee778,1.305442761,
erc20,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0x88d5EB1993dD04bf2175f940e64fD49A90D13F8b,1.280456586,
erc20,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0x86c7e05B935eC835610531Ae5c716e081FABc828,1.23635873,
