token_type,token_address,receiver,amount,id
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,203.195,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x5e5FFEf1103717f17a9A155D0c7646EC5e16551E,455.7938683,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x00dEcFEec5d6D9D77275CFdc1e447cF284Ae13e2,195.9843406,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x8c0ad528b58b83b50206C81AD35631C02478039b,192.5999028,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x54008ab19ae9D2AB8b3751B3Be11Bb562aF1a578,111.0932755,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xefb3141fF2CC4BAcC32274560F67Ce44A02b47a2,82.1992361,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x0883090dA1AfEcbD88Cd18e5Df1A671A13cA8f77,74.70077324,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xF981a33484E26Cab32963AA37618c4440Abf67cf,74.68241299,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x8565faab405b06936014C8b6bD5Ab60376Cc051B,74.65870672,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xbA018D9d99714616BaBfA208d2fAA921fa0c2D28,73.25403446,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xd281F988242C900d67fF2aafABe683B8004Ee778,63.12526404,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x59bdFB381CA2080D0D042903e776D3DCb548050A,52.20121842,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x9824697F7c12CAbAda9b57842060931c48dEA969,43.00237404,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xc5Df8672232f1C2b75310e4f2B80863721705a12,30.99830018,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x4a39beD3F97ac8e4774b7407dE7090E7A1050A69,24.48693931,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xF1E34bdc4D2316f27a5A61E2d5679292Faf67A4f,23.07192946,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xf2B9ec5724dC97362A53907c0b4cc0AA72369e63,11.53977232,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xe7d51F5419dd26320a8d75507f214c8deF731bF8,10.18830041,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,9.858906199,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xb74125Df13CB9194D93d8b62e0DB30352f2B8001,8.697539548,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x4177a5c0E2369F6830A4c3825aFc8fB3Dd47790D,7.68073843,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xbed58fA67Bd966A40460b42f065DccCb0fD4fE4f,7.613711815,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x636bFC1dAde24c7E60E5807795E4534D42cb5803,7.475501645,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xd0548DbBc3683a6C0B6A98445372C403585Dea20,7.465870672,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xc0AFEF712a1341cA78dA145B2AFAd346E8C3574F,7.465870672,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xa05f67c36cb5fE19Aca3fDb8b4671F4b2d46E421,7.224359462,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x56f820BC0bB5326C74b804CEbAA37C3EE7524f8E,7.077645397,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xF3080047c88F0561B310dfa4e79592F277E13B26,6.913918853,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x99655CA16C742b46A4a05AFAf0f7798C336Fd279,6.643579676,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xaB9786A5e330B50e44579132b8A3Cf7C1c3A9517,6.262399973,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x1163E75d2bf3E0ffDB3602FBe0aBA099D5c20e3c,5.838758818,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x1e204ED6B3BC5e976c5103EfF2f624BcCB8D8bC1,5.521996413,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x157DD18CF70815dF7c25948ced9760aA61f6DF17,5.309503246,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xC7c7D9d19069312918147905e20b003D3B3B1E35,4.954316869,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xe7ef5F4803E85f91871Bc8f4a609b954F2112ac9,4.932402118,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xb7b1Cc940Cc88640089028d4910De22E39e6D117,4.584044593,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x8C9F3175d8aa227ecCdBc21B95bC5fA328006A0f,4.571725906,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x0b3CEf9F913f4F08bba1ED0FD5BA892C0FeC5617,4.571725906,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xB27f6Df486ef5dEE2e3A4DC4f257DD63E5A5e371,4.365067608,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x605572243c30Af7493707C9c8E8aA2Ee25537e9A,3.896460942,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xe0f1F6d9b57DB098a1c786a835A55A1Ff64d39EE,3.732935336,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x7af4922fc22037D573e889201bE7C38E42f22220,3.679703678,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x88d5EB1993dD04bf2175f940e64fD49A90D13F8b,3.661486954,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x090445BA57A90EdC50CB7Ca50DC33D6b05125e20,2.856864964,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x9F533Eec49dc2DBbf495F1cD687c2536d424bE07,2.754309008,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x3DD1B656fcC459Cc4CF203b53AAAbF8C85181f1d,2.618928665,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x5EB476bFD8C1a9Ba7A9663543a6686193b42600c,2.612980077,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x1A760e3A431c8B9C075eD1280C8835a1a0F1651b,2.598122994,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xe7DABc911F5a7250872da534a3eA5DFBAfbbaEd4,2.501066675,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xc928499a080594C8854D1A46DCAe5E862acC5d08,2.439860109,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x5039E2936ec2a588CaD92E4EDCf41a1D3a443186,2.31001244,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x79a0E19c6410284598AFf270fCef21cb7827E61E,2.261489899,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xa1BbD8D39eD536DEa030A32F3F6C5916C845A800,2.242190394,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xc8728Ae130381EB77Fc9a8b715564B00e83E19Df,2.239761202,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x612356EA7E7F2D9d9BDC1aF83043Eb6f14061Dd4,2.042064946,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xA9bEA5C0C25E4D02d56CBFE9A7564c3CcF599617,1.926194633,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xfa4a45D755eA1c2b72Dd581b3E05dde3bFc13fad,1.866467668,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x4961a4c211E482C45b09e02848575324cf86F988,1.698560237,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xa499Df2Bdae854093e5576c26C9e53E1b30d25E5,1.557057966,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x31F10E898CA5432c95e287e671BC1EFef8Ce5362,1.493846063,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xdB19555BE6b11dA29b4DBB8D977Db92fBED4407c,1.425909351,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x349a163d796546d34e8998948a205FdAeE14e718,1.382455272,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x4A32007040567190BeD4fa6Ff3f5A03C0d47C9D7,1.37778755,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xf1FCeD5B0475a935b49B95786aDBDA2d40794D2d,1.299061497,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0xCFB7Ab914C8B93391cB5B2Ba95fa7239e1ee2bbc,1.21693692,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x3237835f43A7336005262C724CE5886ac406417F,1.172531558,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x603A2531b6BAb9666C77042B1dA1639c9C5D1c33,1.136828127,
erc20,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0x8c904FacfcC37c5c9d09f014e4b657342524F1e4,1.109503041,
