Wallet,Balance,,Column1,Balance,% total,VLT,,,,Token ID,Address,,,Unique wallet,Num gotchis,% total,VLT,,,Wallet,vGHST,vGHST VLT,Gotchis,Gotchi VLT,Total VLT
0x1163E75d2bf3E0ffDB3602FBe0aBA099D5c20e3c,20978.37139,,0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,16220.91259,0.0061196,28.61451399,,,,21770,0x172d7a92660006eBecb125c712FA0Fe9dd53e106,,,0xC76b85Cd226518DAF2027081dEfF2Eac4Cc91a00,47,0.012723335,59.49278831,,,0xC76b85Cd226518DAF2027081dEfF2Eac4Cc91a00,35507.77352,62.63751664,47,59.49278831,122.1303049
0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,16220.91259,,0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,15161.53133,0.005719931,26.74571162,,,,12653,0x76b4D57A195eD129b28d1e320eD53655EF4750f3,,,0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,47,0.012723335,59.49278831,,,0x795f50722Cf5ad82F78Dda8dC8F7B235332977C3,1165.568709,2.056122425,90,113.9223606,115.978483
0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,15161.53133,,0xF7B10D603907658F690Da534E9b7dbC4dAB3E2D6,14898.25664,0.005620607,26.28128169,,,,8732,0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,,,0x79bF225FBfd40f78B1878A6d1EeC1Bb03dF92AeB,45,0.012181917,56.96118029,,,0xc0AFEF712a1341cA78dA145B2AFAd346E8C3574F,37899.30327,66.85629663,24,30.37929616,97.23559278
0xF7B10D603907658F690Da534E9b7dbC4dAB3E2D6,14898.25664,,0x985116F8C174fE13325D36685424d1796cC11f51,14853.01289,0.005603538,26.20146942,,,,10969,0x5039E2936ec2a588CaD92E4EDCf41a1D3a443186,,,0x0Bb75bEf057da63a0ae4B25fe9aDaFd35cd92B87,43,0.011640498,54.42957228,,,0xD98695E2FCE07e908c9F523387b1b1f8Eb9d41EC,26087.64656,46.01993404,40,50.63216026,96.6520943
0x985116F8C174fE13325D36685424d1796cC11f51,14853.01289,,0x64dF7AF696e0977771a0E1e1B1a8dD22DED3Cf4b,13821.00491,0.005214196,24.3809549,,,,9114,0x80E7E06F096380DD0D3f9ceC4fDEcE370DB4CDbD,,,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,41,0.01109908,51.89796427,,,0x5e672Fe3264aB1947177AAca2aDD08a537c31c75,52674.90169,92.921203,0,0,92.921203
0x64dF7AF696e0977771a0E1e1B1a8dD22DED3Cf4b,13821.00491,,0xbbA31530Cd8e112be845da468B72fbbFE739387A,12408.78798,0.004681415,21.88973248,,,,10443,0x60eD33735C9C29ec2c26B8eC734e36D5B6fa1EAB,,,0xD98695E2FCE07e908c9F523387b1b1f8Eb9d41EC,40,0.01082837,50.63216026,,,0x2f2B6FcD1050eF4f406f314897D08dF1c327DAb6,52123.73385,91.94891492,0,0,91.94891492
0xbbA31530Cd8e112be845da468B72fbbFE739387A,12408.78798,,0xb74125Df13CB9194D93d8b62e0DB30352f2B8001,12195.90506,0.004601101,21.5141962,,,,14894,0x5d5D7CA38EB488F49DD700c786a1b7Baa31b4486,,,0x7b3012531aaEd7b48bc9BfbC1cd7E7f20B1BB5b8,39,0.010557661,49.36635625,,,0xCe9332f4d44e9Efccc64f88C9bD23E288c0ae5a2,45916.45336,80.99895674,6,7.594824039,88.59378078
0xb74125Df13CB9194D93d8b62e0DB30352f2B8001,12195.90506,,0x08f214ECD776cc89f89A65c2Daa62A3aB5191A2E,11153.97467,0.004208016,19.67617805,,,,11324,0xC561C9b7035732B4EbDbAe6aC43D6a293aB53896,,,0xB3e2A7b1295d9EE03e1f300DfCCaab2ecd47ee53,36,0.009745533,45.56894423,,,0x0c1fD8441C36b288eC0F77E12cA8bA27a27b28bF,49376.12505,87.10199339,1,1.265804006,88.36779739
0x08f214ECD776cc89f89A65c2Daa62A3aB5191A2E,11153.97467,,0xCC6a751a0E644b445984D74f176E9bABF46B2a97,10111.22132,0.003814621,17.83670816,,,,2359,0xa33Aa58FD2795eA89a84C19CACDad50915194980,,,0xCeeC48581B3145a575508719f45da07dc57fA7ce,33,0.008933406,41.77153221,,,0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,15161.53133,26.74571162,47,59.49278831,86.23849992
0xCC6a751a0E644b445984D74f176E9bABF46B2a97,10111.22132,,0xc0719b1040f7f8e904A6509F99335656C1d881eD,10097.65728,0.003809503,17.8127805,,,,22893,0x0BAD4eBfF09CEd8dFffC2D99eA04108E1AfAb8b2,,,0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,32,0.008662696,40.50572821,,,0xf2B9ec5724dC97362A53907c0b4cc0AA72369e63,41434.94754,73.09335278,9,11.39223606,84.48558884
