Wallet,vGHST VLT,Gotchi VLT,Total
0x1d4ddCB0E96d99f417919Bc9c94b8348Dc837A32,3.43985689,15.02290763,18.46276452
0x934dff4d5e1a5138D9863F38ab959b07046Dba45,2.99391402,15.02290763,18.01682165
0x5317Ef9170f26112FBA458958889C15Af78dfCf7,0.412950552,16.90077108,17.31372164
0x5547e568705ed69440b499a2e0EB769c956FCE01,17.00218208,0,17.00218208
0xe5465CEd137EcF8c80bBf7A1e2f2bf457a12A466,0.004812292,16.90077108,16.90558338
0xf2B9ec5724dC97362A53907c0b4cc0AA72369e63,0.00E+00,16.90077108,16.90077108
0xCC1e0A566dbd10869c071c811aBa436357858f05,6.369076222,9.389317269,15.75839349
0x61477Eaa5E33400acC353390Ca001Be0Eb706eb4,0.386119802,15.02290763,15.40902743
0x2D5f86cd294cA6c92189340EaEFf41fc63Dc66EF,2.13976391,13.14504418,15.28480809
0xAb2e11C99D8830D5d9B2494A565c974595e39eef,11.40154785,3.755726908,15.15727475
0xE08Fd80d7D0593a616c01A3F2A17bdC3206c71b4,0.014902517,15.02290763,15.03781015
0x0a097a28a9ecdef27380bed164eEDca0561ACCfd,1.15056E-07,15.02290763,15.02290775
0x5477729b43A0A9beA8c41367C62e7864123B57d8,0,15.02290763,15.02290763
0x99F6d5197004FFe49e7b3C627EAd81CDc3A74283,0,15.02290763,15.02290763
0x6794BDa8e07FAA690d6924B259992Ed354aeC9Bb,1.851189388,13.14504418,14.99623356
0x4dAE5b5bf3dC068BDFEC47b8B402AFf28fe6707F,2.913675571,11.26718072,14.18085629
0xa59e113fbef3B4129bAef6b5355dFf683851aFA7,0.161548369,13.14504418,13.30659255
0xae5b56ca47E84b6c749E0454680C4161B9DA9790,0.029091475,13.14504418,13.17413565
0x8B200F4c81c54d9014B4cDA3F16501069FA20Ab9,0,13.14504418,13.14504418
0x50f461F471e7dCe973e27f0e319eBe868135D764,0,13.14504418,13.14504418
0x7953bB4AFA683C36396Bee7Dd7d3647cF640B0d2,0,13.14504418,13.14504418
0xD153F676B14eC35461E652300cFC1599C0dAEBA4,0.00E+00,13.14504418,13.14504418
0xc928499a080594C8854D1A46DCAe5E862acC5d08,9.311470655,3.755726908,13.06719756
0xc976895017c81Ac926478C26c347BBEd202d0508,3.036713623,9.389317269,12.42603089
0x9b68185AaDEB867DEd2cf16E0d798D2D6A63eA01,8.483880531,3.755726908,12.23960744
0x6B3bE6C88C8875168c694e57E62d1dE554Ee6902,0.752082725,11.26718072,12.01926345
0x628cC4601166a44e5378717790c8Da50de0cce9B,6.283579429,5.633590361,11.91716979
0xdC7Aa225964267c7E0EfB35f4931426209E90312,11.44144902,0,11.44144902
0x6299dbe5BE8ED5d5DF9Ff5a21B485c7da0cF3476,6.91912E-08,11.26718072,11.26718079
0xA709f9904a4E3cF50816609834175446C2246577,5.00318E-08,11.26718072,11.26718077
0x56a356c378C5FA08Dfd32ee4Ca0Dce93F328BA37,0,11.26718072,11.26718072
0x99655CA16C742b46A4a05AFAf0f7798C336Fd279,0,11.26718072,11.26718072
0xF06B10cC81d64D2F01Ba789D24426DB7cf23cD20,0,11.26718072,11.26718072
0x579ea3F1e0617Aa237E36C0501822b55bE8D84ED,3.640719555,7.511453815,11.15217337
0xa1BbD8D39eD536DEa030A32F3F6C5916C845A800,1.690504496,9.389317269,11.07982176
0x7fBD1E4C9449C2443E0AD17537d77645bd23cC21,3.495438407,7.511453815,11.00689222
0x581dE43B0273915f61D015E394D2C6aF1F9ce8E6,7.146157576,3.755726908,10.90188448
0x8565faab405b06936014C8b6bD5Ab60376Cc051B,10.19334016,0,10.19334016
0x10dF55eE5D2977F952f3f264b9e8218D699b36b1,4.559107181,5.633590361,10.19269754
0x70C9666B338795DdAb8f4bd67F580B1D9234b8Dc,4.29E+00,5.633590361,9.918855486
0x4E8ffddB1403CF5306C6c7B31dC72EF5f44BC4F5,7.893577331,1.877863454,9.771440785
0x172d7a92660006eBecb125c712FA0Fe9dd53e106,2.15E-01,9.389317269,9.60382827
0x6b6f5e6a8167d72ac8951aC89E9d490A63912945,0.205576396,9.389317269,9.594893665
0xa919538CeAb5c64608945865835dbC10540feB1D,9.489549639,0,9.489549639
0x89A1145FCCAC1a2a9350eC1A4A486E4458D26274,1.95E-08,9.389317269,9.389317289
0x0b81747F504dFC906A215e301d8b8aD82E44CBd2,0,9.389317269,9.389317269
0x0b81747F504dFC906A215e301d8b8aD82E44CBd2,0,9.389317269,9.389317269
0x2e48Ec0Bb013e7FDbF319E1A2795035204954B0f,0,9.389317269,9.389317269
0x32f9A1E1125E61bD2756528e7316303f532E4d7F,0,9.389317269,9.389317269
0x6CD71d6Cb7824add7c277F2CA99635D98F8b9248,0,9.389317269,9.389317269
0x93FC1F35f53a9553534979233caF273214C51Fd7,0,9.389317269,9.389317269
0x4aC2C547b842aA861B06FB1A3d04d1f778131fa5,0,9.389317269,9.389317269
0x1b2E6C79A0b9a1f19234D45D9A8DB9EE57Bc0b14,0,9.389317269,9.389317269
0xf31B40DbcBa528f2cD6Ea9D65058BE320175D259,0,9.389317269,9.389317269
0x7bf4d5E579a26dd09F1ddDB2391566e7BA575B5B,0.00E+00,9.389317269,9.389317269
0xdE6b1d60b5c5c0C8a41C8c3241C56E8754D5Ca65,0,9.389317269,9.389317269
0x4a6f00fd13e2695A3F056510DEF18F17d03C9b0C,0,9.389317269,9.389317269
0x59E5fe3a536d2fa69614E0A0692F5C6e3D6dCbfc,0,9.389317269,9.389317269
0x7A8B10716E2e473a541E9E990e711651425E5413,5.522007318,3.755726908,9.277734225
