Wallet,Gotchis,Gotchi VLT,vGHST,vGHST VLT,Total VLT
0x8565faab405b06936014C8b6bD5Ab60376Cc051B,0,0,12159.16131,27.04557196,27.04557196
0x5039E2936ec2a588CaD92E4EDCf41a1D3a443186,14,21.29548471,2298.631677,5.112836885,26.4083216
0x10e11E6443904faF15cdb944f3E99C321Ccc6199,15,22.81659076,1110.166662,2.469339093,25.28592985
0x0Cf1B3360F277976F4FeaE7cbad4a3ba6D7381f9,0,0,11153.97467,24.8097395,24.8097395
0xCC6a751a0E644b445984D74f176E9bABF46B2a97,1,1.521106051,10111.22132,22.49034756,24.01145361
0xD52A4333Bd8cc9AB3C77Df19DeD4900b7849A07d,7,10.64774236,5936.277503,13.20403738,23.85177973
0x7E4724C60718A9F87CE51bcF8812Bf90D0b7B9Db,1,1.521106051,10000.00002,22.24295849,23.76406454
0xdAc12B6ddBF055eE542f0Ed460a32D1e9F361ca4,1,1.521106051,9874.195167,21.96313127,23.48423732
0x60523Cd3F5CF0061C6f042545371Fa6ff8cD397B,15,22.81659076,160.4173565,0.356815659,23.17340642
0xF7B10D603907658F690Da534E9b7dbC4dAB3E2D6,0,0,9969.509705,22.175139,22.175139
0x8f9bE4310f9AbB0E5843Cc6363908C9B01dfeB3F,0,0,9969.430023,22.17496176,22.17496176
0x88512CfC901ADB8E17a143310700d6C4BF036F6a,0,0,9884.530139,21.98611931,21.98611931
0x1c9674667D8468204452c52D610a0883E97C22aD,0,0,9811.790664,21.82432519,21.82432519
0xE7793581460b2c5C088Ae0D6465DB6fCD33F3E43,6,9.126636304,5617.69982,12.49542636,21.62206266
0x0b3CEf9F913f4F08bba1ED0FD5BA892C0FeC5617,0,0,9595.773211,21.34383847,21.34383847
0x8C9F3175d8aa227ecCdBc21B95bC5fA328006A0f,0,0,9261.20334,20.5996561,20.5996561
0xaB9786A5e330B50e44579132b8A3Cf7C1c3A9517,0,0,9239.270014,20.55086989,20.55086989
0x260EDfEa92898A3C918A80212e937e6033F8489E,1,1.521106051,8351.889807,18.57707379,20.09817984
0x4177a5c0E2369F6830A4c3825aFc8fB3Dd47790D,12,18.25327261,774.6798303,1.723117127,19.97638974
0x472d7E705f3baa44f82bFF5B397330015d810828,13,19.77437866,0,0,19.77437866
0x6c8E15EC8e35b6ffb246d60AbcA2Ba81d4e247F4,1,1.521106051,8155.718028,18.14072971,19.66183576
0x7af4922fc22037D573e889201bE7C38E42f22220,11,16.73216656,1184.553134,2.634796612,19.36696317
0xa8bd174385B14F880F8b7F06894Cc1bF265Db32e,11,16.73216656,998.0954799,2.220059628,18.95222619
0xB27f6Df486ef5dEE2e3A4DC4f257DD63E5A5e371,9,13.68995446,2240.333265,4.98316397,18.67311843
0x5317Ef9170f26112FBA458958889C15Af78dfCf7,11,16.73216656,778.5916803,1.731818238,18.4639848
0xCd8Eddd0A27047D53D65f23D483A8A169D54526B,12,18.25327261,65.75886734,0.146267175,18.39953978
0x5547e568705ed69440b499a2e0EB769c956FCE01,0,0,7921.646936,17.62008635,17.62008635
0xCC1e0A566dbd10869c071c811aBa436357858f05,5,7.605530254,4165.339265,9.264946815,16.87047707
0x934dff4d5e1a5138D9863F38ab959b07046Dba45,8,12.16884841,1995.249503,4.438025177,16.60687358
0xfd4476E38d9AfE25C95B45A120C0b07D0dC7C6a9,10,15.21106051,420.5522631,0.935432651,16.14649316
0x1d4ddCB0E96d99f417919Bc9c94b8348Dc837A32,8,12.16884841,1602.696152,3.564870389,15.73371879
0x5477729b43A0A9beA8c41367C62e7864123B57d8,10,15.21106051,100.8764496,0.224379068,15.43543958
0x1dbF00bc3f40F551d79422a96367A6F58Ae59412,1,1.521106051,6241.271195,13.88243358,15.40353963
0x4eDb4161D16c89b71Aec027930a943c3d4cf0777,10,15.21106051,53.63676276,0.119304028,15.33036454
0xe5465CEd137EcF8c80bBf7A1e2f2bf457a12A466,10,15.21106051,2.242140099,0.004987183,15.21604769
0x352aC32C9663FB7CAAC363F77B121c34D9ACb420,10,15.21106051,0.201802104,0.000448868,15.21150938
0x0a097a28a9ecdef27380bed164eEDca0561ACCfd,10,15.21106051,9.92185E-05,2.20691E-07,15.21106073
0x50f461F471e7dCe973e27f0e319eBe868135D764,10,15.21106051,0,0,15.21106051
0x750e361EE017e398C922F2B634387ECff810DF6c,10,15.21106051,0,0,15.21106051
0x43FF4C088df0A425d1a519D3030A1a3DFff05CfD,10,15.21106051,0,0,15.21106051
0x1A760e3A431c8B9C075eD1280C8835a1a0F1651b,6,9.126636304,2688.334875,5.979652089,15.10628839
0xAb2e11C99D8830D5d9B2494A565c974595e39eef,2,3.042212101,5312.202642,11.81591026,14.85812236
0x973efE3a49AA9257e2a5f1e7e866DF7e5ee96d8E,4,6.084424203,3860.17062,8.586161467,14.67058567
0xE1f987CB66D8F0Da79Cb0fE245500200bbFBA51E,0,0,6551.984634,14.57355219,14.57355219
