Wallet,vGHST,vGHST VLT,Gotchis,Gotchis VLT,Total VLT,,,,
0x22CAb81E0FEe2bad5b015DbBEB6A374A1B8738de,0,0,26,32.57588364,32.57588364,,,,
0xaE74D4Af5310170f8B2c0227B0C8CA70c8E2C78F,0,0,26,32.57588364,32.57588364,,,,
0x3cb76EC20b4f7C1871696520eCC50e44be7244c5,26417.39166,30.93288669,1,1.252918601,32.18580529,,,,
0xd07f70Dd326A34a00961139458d86c6A30FcdCA5,5543.636049,6.491203522,20,25.05837203,31.54957555,,,,
0xe17686193c98482347e3E2E754b9fd857dA37a86,20.35637263,0.023835865,25,31.32296504,31.3468009,,,,
0x0628C084F4b72c1297e96C7005F309ae89F982A6,0,0,24,30.07004644,30.07004644,,,,
0x9fBa5259A1a4654212849E87CFdf5B28d5bbcB5e,25648.8281,30.03295343,0,0,30.03295343,,,,
0x10e11E6443904faF15cdb944f3E99C321Ccc6199,8875.744552,10.39286558,15,18.79377902,29.1866446,,,,
0x6D33ECD723155522d597682Df1f0Ac10e7D7D9ed,0,0,23,28.81712783,28.81712783,,,,
0xBDc7a955505e20410061744f556f6dEC761Bfb8f,4113.982786,4.817181235,19,23.80545343,28.62263466,,,,
0x20eC02894D748C59c01B6bF08FE283D7bB75A5d2,0,0,22,27.56420923,27.56420923,,,,
0x4A32007040567190BeD4fa6Ff3f5A03C0d47C9D7,23145.91857,27.10222439,0,0,27.10222439,,,,
0xd4e42e41FCa01464d36a44ACAb98D2aA1447e8f4,9.00E-05,1.05E-07,21,26.31129063,26.31129074,,,,
0xe7ef5F4803E85f91871Bc8f4a609b954F2112ac9,22459.00029,26.29789193,0,0,26.29789193,,,,
0xd1ccaB6B1F4606d80106B52a4415985ab78CbB93,21757.07319,25.47598523,0,0,25.47598523,,,,
0xD2eeFF73117C86c14F11A6052620848F8dD6E0c8,20929.98927,24.50752879,0,0,24.50752879,,,,
0x472d7E705f3baa44f82bFF5B397330015d810828,2.40E-05,2.81E-08,19,23.80545343,23.80545346,,,,
0xcCc3cE05B1D1B4E4A72e2052b98B1de8E60593E8,19121.47007,22.38988144,1,1.252918601,23.64280004,,,,
0x6186290B28D511bFF971631c916244A9fC539cfE,4766.856555,5.581649983,14,17.54086042,23.1225104,,,,
0x7264E14a050fE6A383C654448FCc84d7A4b9eC94,0,0,18,22.55253483,22.55253483,,,,
0xAAE96b3720d3499cA3B40C55ef16f34D7fCfa06D,12753.14061,14.93302059,6,7.517511609,22.45053219,,,,
0x8B9F39b3c76AaB744BCee37cC56782bAC8eb5FFb,8748.321215,10.24366192,9,11.27626741,21.51992933,,,,
0xE23B6c5bd85E0204eC4bdC6A20f777e69C61CCBc,18314.25335,21.44468807,0,0,21.44468807,,,,
0xDC6953C238C4Ffff57d7C16aC32bc716f7074e3a,0,0,17,21.29961623,21.29961623,,,,
0xbba2379F5cc9A2f248C5Cf18aD72379AE2478F42,0,0,17,21.29961623,21.29961623,,,,
0xCc58AccACd0db8010e4c8A20BA49D2DC9d4D7f59,17522.49985,20.51760103,0,0,20.51760103,,,,
0x08f214ECD776cc89f89A65c2Daa62A3aB5191A2E,17374.68529,20.34452069,0,0,20.34452069,,,,
0x5C5A4AE893c4232A050b01a84E193e107Dd80CA2,0,0,16,20.04669762,20.04669762,,,,
0xaa44cAc4777DcB5019160A96Fbf05a39b41edD15,10041.53487,11.75792313,6,7.517511609,19.27543474,,,,
0x4eb172821B5bC013269c4F6f6204F092D44197EC,1068.27312,1.250871842,14,17.54086042,18.79173226,,,,
0xF7B10D603907658F690Da534E9b7dbC4dAB3E2D6,14942.73632,17.49688143,1,1.252918601,18.74980003,,,,
0xD52A4333Bd8cc9AB3C77Df19DeD4900b7849A07d,6770.228643,7.927456208,8,10.02334881,17.95080502,,,,
0x74d429B653748a56cB33531b26808b6D153670FD,0,0,14,17.54086042,17.54086042,,,,
0x64dF7AF696e0977771a0E1e1B1a8dD22DED3Cf4b,0,0,14,17.54086042,17.54086042,,,,
0xe4DC3F7998165ba167f97a72CAddD2D8EE1c7FFB,0,0,14,17.54086042,17.54086042,,,,
0xd757f002d43DcB8dB9A4E43A8350Aa8cCcdC4e4f,0,0,14,17.54086042,17.54086042,,,,
0x1c9674667D8468204452c52D610a0883E97C22aD,14893.8707,17.43966326,0,0,17.43966326,,,,
0xb2ac25160796b5e384EdC1Fd8f4479A020C1B53C,14440.98608,16.90936759,0,0,16.90936759,,,,
0xAb2e11C99D8830D5d9B2494A565c974595e39eef,5860.358263,6.862062708,8,10.02334881,16.88541152,,,,
0x748a9FB91ADE6d9CD48AB1D1AF6F4c27620B703C,11160.42074,13.0680589,3,3.758755804,16.8268147,,,,
0x4cb087cC190943591852f54D1d82e3647228e2c2,0,0,13,16.28794182,16.28794182,,,,
0xDe34393312C0C1e97e404d18A04580E9610e063C,0,0,13,16.28794182,16.28794182,,,,
0x3d856ae467561f78Cfe32318D9DD3f89957EfeEB,0,0,13,16.28794182,16.28794182,,,,
0x0a097a28a9ecdef27380bed164eEDca0561ACCfd,0,0,13,16.28794182,16.28794182,,,,
0xE21428de432217B6939b46ec02D218E87F96a1c2,5853.633434,6.85418841,7,8.77043021,15.62461862,,,,
0xb74125Df13CB9194D93d8b62e0DB30352f2B8001,12192.61298,14.2766826,1,1.252918601,15.5296012,,,,
0x0c9e1ec8Db2132eF656b250b6AeceaD3D0313b08,12892.32509,15.09599571,0,0,15.09599571,,,,
0x59bdFB381CA2080D0D042903e776D3DCb548050A,0,0,12,15.03502322,15.03502322,,,,
0x6d7b212d1C91E735a2d0C3Cca20074c4285E8a44,12743.38984,14.92160313,0,0,14.92160313,,,,
0x8565faab405b06936014C8b6bD5Ab60376Cc051B,12149.91652,14.22668808,0,0,14.22668808,,,,
0xCC1e0A566dbd10869c071c811aBa436357858f05,6746.197183,7.899317077,5,6.264593007,14.16391008,,,,
0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,12093.05969,14.16011278,0,0,14.16011278,,,,
0xB27f6Df486ef5dEE2e3A4DC4f257DD63E5A5e371,2418.995836,2.832472072,9,11.27626741,14.10873949,,,,
0xC4fe12630fEffDb5Ee72eDdCBBB43b595407442F,3271.515649,3.830712138,8,10.02334881,13.85406095,,,,
0x101aDDC07D63a6B35B199153252168aB9889Dca1,9.44E-05,1.11E-07,11,13.78210462,13.78210473,,,,
0x43FF4C088df0A425d1a519D3030A1a3DFff05CfD,0,0,11,13.78210462,13.78210462,,,,
0x99F6d5197004FFe49e7b3C627EAd81CDc3A74283,0,0,11,13.78210462,13.78210462,,,,
0xaB9786A5e330B50e44579132b8A3Cf7C1c3A9517,11758.50792,13.76837645,0,0,13.76837645,,,,
0x24970b51dd29DC2Dfa264Cd51C41998C68E3D7E6,742.9428,0.869933177,10,12.52918601,13.39911919,,,,
0xCC6a751a0E644b445984D74f176E9bABF46B2a97,10111.22132,11.83952101,1,1.252918601,13.09243961,,,,
0xbb899870561D48e823DdfACFFa201dc20214a530,11108.95902,13.00780088,0,0,13.00780088,,,,
0x636bFC1dAde24c7E60E5807795E4534D42cb5803,8866.849549,10.38245017,2,2.505837203,12.88828737,,,,
0x5477729b43A0A9beA8c41367C62e7864123B57d8,274.7224661,0.321680468,10,12.52918601,12.85086648,,,,
0xe5465CEd137EcF8c80bBf7A1e2f2bf457a12A466,0.583094833,0.000682763,10,12.52918601,12.52986878,,,,
0x5317Ef9170f26112FBA458958889C15Af78dfCf7,6.59E-05,7.72E-08,10,12.52918601,12.52918609,,,,
0xa05f67c36cb5fE19Aca3fDb8b4671F4b2d46E421,10286.4425,12.04469255,0,0,12.04469255,,,,
0x3c0CDBa6547D1D3f36F9b8ee47809b4B0790ec9E,10205.25573,11.94962862,0,0,11.94962862,,,,
0x956F1CE3ff2ea59A8b41DF83Ce9F85ED59D73F92,2500.932584,2.928414177,7,8.77043021,11.69884439,,,,
0x8f9bE4310f9AbB0E5843Cc6363908C9B01dfeB3F,9969.430023,11.67349348,0,0,11.67349348,,,,
0x88512CfC901ADB8E17a143310700d6C4BF036F6a,9884.530139,11.57408175,0,0,11.57408175,,,,
0x5039E2936ec2a588CaD92E4EDCf41a1D3a443186,9847.326219,11.53051861,0,0,11.53051861,,,,
0x1d4ddCB0E96d99f417919Bc9c94b8348Dc837A32,1202.696152,1.408271652,8,10.02334881,11.43162046,,,,
0xc2f792e08197A582291Add1413692E8235A3b639,9746.006787,11.41188076,0,0,11.41188076,,,,
0x404240e15322547346debD435C70A7a87859Ed5E,10.81103677,0.012658955,9,11.27626741,11.28892637,,,,
0xc875257696e55923baec761f9210502E192fE1a4,0,0,9,11.27626741,11.27626741,,,,
0x0b3CEf9F913f4F08bba1ED0FD5BA892C0FeC5617,9618.40874,11.26247252,0,0,11.26247252,,,,
0x577182E41158Ba340fd4934aD1Fc24b011934A64,2994.853732,3.50676071,6,7.517511609,11.02427232,,,,
0xF4aa396BC7f3a57a82CA01270D43d21C26B35787,6139.073224,7.188418103,3,3.758755804,10.94717391,,,,
0x8C9F3175d8aa227ecCdBc21B95bC5fA328006A0f,9301.553951,10.8914581,0,0,10.8914581,,,,
0x6c8E15EC8e35b6ffb246d60AbcA2Ba81d4e247F4,8155.718028,9.549765735,1,1.252918601,10.80268434,,,,
0x7bB85b553c04cF2dFCBbDac998eA3621e17236c3,9213.972736,10.78890673,0,0,10.78890673,,,,
0xCe9332f4d44e9Efccc64f88C9bD23E288c0ae5a2,5916.453359,6.927746075,3,3.758755804,10.68650188,,,,
0xF24b73A328dF29cdde804aCF605B8722aD5030DA,9111.628891,10.66906937,0,0,10.66906937,,,,
0x61477Eaa5E33400acC353390Ca001Be0Eb706eb4,302.0246288,0.353649359,8,10.02334881,10.37699817,,,,
0x763c823E2bdd66538C85736B1784031Fa4d993F6,8751.109649,10.24692697,0,0,10.24692697,,,,
0x172d7a92660006eBecb125c712FA0Fe9dd53e106,99.9448428,0.117028302,8,10.02334881,10.14037711,,,,
0xE4E98E007e5A4A5a73a4BA2254efEaaE131CbC04,2231.205695,2.612583174,6,7.517511609,10.13009478,,,,
0xb0cE77b18b8663Baa0D6be63B7C5eE0bdF933001,1.959225692,0.002294114,8,10.02334881,10.02564293,,,,
0xb3749AB08c12aE8BcD95A5f11272927a2EBc36d5,0,0,8,10.02334881,10.02334881,,,,
0xae5b56ca47E84b6c749E0454680C4161B9DA9790,0,0,8,10.02334881,10.02334881,,,,
0xc7a00B2635339d1C4EB7A22AC73f53b7a9bD0613,0,0,8,10.02334881,10.02334881,,,,
0x34EC9c1D89cE8Afa701D079FD908FcA95f49667a,6185.656455,7.242963753,2,2.505837203,9.748800956,,,,
0xb4D502361a3c6f823EEb9A99Af09E110382206ee,816.3419811,0.955878397,7,8.77043021,9.726308608,,,,
0x973efE3a49AA9257e2a5f1e7e866DF7e5ee96d8E,3860.17062,4.519985241,4,5.011674406,9.531659647,,,,
0xC61b244fA2B83eFe9EF91dA7390CA5FC1cbb35B1,2619.921769,3.067742049,5,6.264593007,9.332335056,,,,
0x7b0B5fbb7B5CA042D82128F66965bfD185Ac30DC,474.6402869,0.555770017,7,8.77043021,9.326200227,,,,
0x5547e568705ed69440b499a2e0EB769c956FCE01,7921.646936,9.275685134,0,0,9.275685134,,,,
0xfE4aF59d6E02b12b52A78553B5dfda0eB6454099,7858.576957,9.201834674,0,0,9.201834674,,,,
0x4dAE5b5bf3dC068BDFEC47b8B402AFf28fe6707F,1357.526729,1.589567245,6,7.517511609,9.107078854,,,,
0x92b051204816DC4fbA7AC1A68a2cf319A9a387CB,247.7193798,0.290061775,7,8.77043021,9.060491985,,,,
0xd32f222283D295f93664B11faAC967e6826b635f,2379.815196,2.786594329,5,6.264593007,9.051187337,,,,
0x92fAB452E2F14C7730f79031906E06326c916946,93.91224159,0.109964555,7,8.77043021,8.880394766,,,,
0xdc17637f3399C3Ad21bE1Cef13ac5380363878dC,21.64918903,0.025349661,7,8.77043021,8.795779871,,,,
0xa59e113fbef3B4129bAef6b5355dFf683851aFA7,0.003694759,4.33E-06,7,8.77043021,8.770434537,,,,
0x2940D277B33808bbF288a70130A25578daEB6127,0,0,7,8.77043021,8.77043021,,,,
0x7953bB4AFA683C36396Bee7Dd7d3647cF640B0d2,0,0,7,8.77043021,8.77043021,,,,
