"HolderAddress","Balance","PendingBalanceUpdate"
"0x0014c642ebee2273d3790a485e4cf7674c34d886","133.714581519278","No"
"0x001900845643957d031ecdb3c5fd84ef08f6aaca","1198.44932175674","No"
"0x002d2715b179d0db3e17cc28317a98f2f65e6884","1441.74876998319","No"
"0x002e7ea05d6721a04cd36ab5e9f2c72338d7f7f3","33.5950515398174","No"
"0x0030b9f1925408d79be83c7cecfffdbacb638e9b","12.2695343215381","No"
"0x00553b963de06016c68681c9bee10a79c51c5d8a","508.706805344182","No"
"0x006be8ae03459bcd73daeda911de34bc98f387a5","18.9046685585621","No"
"0x007de57773b6eb4ebbf6a740dfde1efdd5629630","51.1645255519207","No"
"0x00987cbce7014389197f9d5468dab5a8facffee0","151.735650708183","No"
"0x010afb8548a5d1a3a3d62f58ca0a5a1329974206","0.494534909811553","No"
"0x02aee0ce756fa0157294ff3ff48c1dd02adccf04","5654.38632924829","No"
"0x0327d97fe559fb16b3c63d90927487186219283e","718.573761864807","No"
"0x03ad93e9f86e7d1af7603d968db5898110091fc8","0.562403192830856","No"
"0x03b3fd15405225146cc87f51f35c194e3c8ae590","105.810581693741","No"
"0x0464349e7012a83c965d672e9eca3896a1260624","50.6979897740388","No"
"0x047056668e705504eedb0aebcb4523a8ec46fd49","0.986094919383545","No"
"0x04c873241fe90e09ceaa93cdab3cc5c55ab863cd","9.96078365073847","No"
"0x04e60c358da4d51db8c7be369b94039af465adff","497.577703205483","No"
"0x0545a605a6b0c42bb5bd01f918e17d7347095acc","401.928614514828","No"
"0x0604e36672dcc192c4880dfc7fe8b39ac8e3542a","1000","No"
"0x07557e561e7baa14bc8ac7040271aa1443d566e9","47.2214977088349","No"
"0x07a009e9e98649bff954cf3032ceb3e21e020f49","9.183156775951E-05","No"
"0x0818af898d8c84a10a28d0b9c7cd1969a374b15e","47.7815446991733","No"
"0x0839f5c6cd90fdf95de496d0196c1e6016954c94","97.1997520284984","No"
"0x08f214ecd776cc89f89a65c2daa62a3ab5191a2e","11153.9746701335","No"
"0x090445ba57a90edc50cb7ca50dc33d6b05125e20","10","No"
"0x09949281e3247d8901be507d32ac8d8e12242a21","9.7442058506161E-05","No"
"0x0998460853abfa4d8ef6f2591aabeae4d060fb93","1843.84569823228","No"
"0x0a097a28a9ecdef27380bed164eedca0561accfd","9.9218461092778E-05","No"
"0x0b3cef9f913f4f08bba1ed0fd5ba892c0fec5617","9595.77321147754","No"
