Wallet,vGHST,vGHST VLT,Gotchis,Gotchi VLT,Total VLT
0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,562438.0929,550.5081194,32,34.74875987,585.2568792
0xd281F988242C900d67fF2aafABe683B8004Ee778,260814.8929,255.2827022,173,187.860483,443.1431852
0x6Cf9AA65EBaD7028536E353393630e2340ca6049,374233.2992,366.2953707,0,0,366.2953707
0x60eD33735C9C29ec2c26B8eC734e36D5B6fa1EAB,99231.29381,97.12648134,184,199.8053693,296.9318506
0x4a39beD3F97ac8e4774b7407dE7090E7A1050A69,226380.5909,221.5787923,27,29.31926614,250.8980584
0x84Ef9d47a2B1cbFC2F011F886287Ef44F08c80ab,246367.2218,241.1414832,0,0,241.1414832
0x6994ba66FD6789044c4aD43786CC16840d099C8a,144035.431,140.9802701,92,99.90268463,240.8829547
0x8E3d6c8F591d73eBcF79810ebC4b3aDF829d2fB6,1405.858263,1.376038356,166,180.2591918,181.6352302
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,177309.5574,173.5486131,1,1.085898746,174.6345119
0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,21540.00529,21.08311644,139,150.9399257,172.0230421
0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,97826.35956,95.7513474,65,70.58341849,166.3347659
0x9289e0156d908EDBfa616bc08f99b0AD77a55e05,0,0,150,162.8848119,162.8848119
0x60c4ae0EE854a20eA7796a9678090767679B30FC,908.2309324,0.888966286,144,156.3694194,157.2583857
0xbb73548A0e6F839fb58e9D59969Ba6AEdEcDF5f1,50005.49216,48.94481684,67,72.75521598,121.7000328
0x6021DB23296793f8D1e9CdF710b29356DAD1f4A5,0,0,110,119.4488621,119.4488621
0xc0AFEF712a1341cA78dA145B2AFAd346E8C3574F,89680.17966,87.77795756,24,26.0615699,113.8395275
0xE4ea40377D1ecA80c5F6D060A18528f3f73b2B61,995.9110479,0.974786603,100,108.5898746,109.5646612
0xf09D1acBF092EC47970a2aA9e16Bc658b2ECf15e,0,0,100,108.5898746,108.5898746
0xD98695E2FCE07e908c9F523387b1b1f8Eb9d41EC,53417.16637,52.28412544,40,43.43594984,95.72007527
0xd757f002d43DcB8dB9A4E43A8350Aa8cCcdC4e4f,25532.63378,24.99105658,60,65.15392476,90.14498134
0x795f50722Cf5ad82F78Dda8dC8F7B235332977C3,2346.440404,2.296669642,80,86.87189967,89.16856932
0x17a3831B39cc557296d0C322f9C2D42C0b3A8F3f,0,0,82,89.04369717,89.04369717
0x2848b9f2D4FaEBaA4838c41071684c70688B455d,55304.71179,54.1316338,29,31.49106363,85.62269743
0xCd8Eddd0A27047D53D65f23D483A8A169D54526B,49723.18818,48.66850087,17,18.46027868,67.12877955
0xF0Bc763e0A6AF4784a36fa102220FF60eC651f9e,33008.39653,32.30824961,32,34.74875987,67.05700948
0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,15161.53133,14.83993741,47,51.03724106,65.87717847
0x2f2B6FcD1050eF4f406f314897D08dF1c327DAb6,66001.45978,64.60149118,0,0,64.60149118
0x62C239F8f0999De6BBee0704bc888bE30A248C0A,60212.89718,58.9357108,0,0,58.9357108
0x07A009e9E98649Bff954cf3032ceB3E21E020f49,372.238925,0.3643433,51,55.38083604,55.74517934
0xc0719b1040f7f8e904A6509F99335656C1d881eD,32006.01576,31.32713052,22,23.88977241,55.21690293
0xf2B9ec5724dC97362A53907c0b4cc0AA72369e63,43429.99848,42.50879713,9,9.773088713,52.28188584
0x5e672Fe3264aB1947177AAca2aDD08a537c31c75,52674.90169,51.55760506,0,0,51.55760506
0xca4aD39F872E89Ef23eABd5716363Fc22513E147,27596.21019,27.01086211,22,23.88977241,50.90063452
0xa33Aa58FD2795eA89a84C19CACDad50915194980,0,0,46,49.95134231,49.95134231
0xdb9d281C3D29bAa9587f5dAC99DD982156913913,49665.50985,48.61204596,1,1.085898746,49.69794471
0x0c1fD8441C36b288eC0F77E12cA8bA27a27b28bF,49376.12505,48.32879935,1,1.085898746,49.4146981
0xC76b85Cd226518DAF2027081dEfF2Eac4Cc91a00,31298.94053,30.63505319,16,17.37437993,48.00943312
0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,23330.2607,22.83539842,23,24.97567116,47.81106958
0x79bF225FBfd40f78B1878A6d1EeC1Bb03dF92AeB,0,0,44,47.77954482,47.77954482
0x0Bb75bEf057da63a0ae4B25fe9aDaFd35cd92B87,358.2525805,0.350653622,43,46.69364608,47.0442997
0xc0893fA01108f50fa2A04e2ccEE815376EC56233,309.5878709,0.303021148,41,44.52184858,44.82486973
0x0BAD4eBfF09CEd8dFffC2D99eA04108E1AfAb8b2,25605.22386,25.06210694,17,18.46027868,43.52238562
0x0628C084F4b72c1297e96C7005F309ae89F982A6,0,0,40,43.43594984,43.43594984
0xdf631777df4DebcBcd647e85bdcB868b43663BA0,183.2672691,0.179379955,38,41.26415235,41.4435323
0xF1E34bdc4D2316f27a5A61E2d5679292Faf67A4f,41333.07264,40.45634955,0,0,40.45634955
0xbbA31530Cd8e112be845da468B72fbbFE739387A,12408.78798,12.14558299,25,27.14746865,39.29305164
0x1163E75d2bf3E0ffDB3602FBe0aBA099D5c20e3c,40136.44357,39.28510239,0,0,39.28510239
0xC68C8452be34032ab999787796AE0fAaf071e054,0,0,36,39.09235485,39.09235485
0x99655CA16C742b46A4a05AFAf0f7798C336Fd279,33258.659,32.55320372,6,6.515392476,39.06859619
0xCeeC48581B3145a575508719f45da07dc57fA7ce,2471.080061,2.418665546,33,35.83465862,38.25332416
0x2957dFa6C3CD17810E6F77Fd9b14aF1F27fdACc5,35589.61001,34.83471252,3,3.257696238,38.09240875
0x5d5D7CA38EB488F49DD700c786a1b7Baa31b4486,22086.98733,21.61849634,13,14.1166837,35.73518004
0x76A5Df896413F3B566d07da5AF44326C0f54a25b,3221.748666,3.153411587,30,32.57696238,35.73037397
0xe5465CEd137EcF8c80bBf7A1e2f2bf457a12A466,25110.47635,24.5778536,10,10.85898746,35.43684106
0xe7ef5F4803E85f91871Bc8f4a609b954F2112ac9,35209.99313,34.46314776,0,0,34.46314776
0x7af4922fc22037D573e889201bE7C38E42f22220,19001.73781,18.5986886,14,15.20258244,33.80127104
0x3C25AE7daE49b3c24439549928BfC1DF60A0aD20,0,0,31,33.66286112,33.66286112
0x66ab6A57322aC5FD7026662675Db0E83307e025E,0,0,31,33.66286112,33.66286112
0x33f844352144a9DDd91542b0adCD8Ba0dD142e93,33578.34581,32.8661096,0,0,32.8661096
0x4177a5c0E2369F6830A4c3825aFc8fB3Dd47790D,16691.43173,16.33738683,15,16.28848119,32.62586802
0xbD6F5BdC401AB1Ca811e40755f4A2ddAd75cE2cc,0,0,29,31.49106363,31.49106363
0x985116F8C174fE13325D36685424d1796cC11f51,15289.53739,14.96522832,15,16.28848119,31.25370951
0x93468aDecDcCD18131ce1fd8cAEed68fB3de43e7,0,0,28,30.40516489,30.40516489
0xaE74D4Af5310170f8B2c0227B0C8CA70c8E2C78F,0,0,26,28.23336739,28.23336739
0xd07f70Dd326A34a00961139458d86c6A30FcdCA5,5211.500992,5.100958925,20,21.71797492,26.81893384
