Wallet,vGHST,vGHST VLT,Gotchis,Gotchi VLT,Total VLT
0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,566540.2167,547.8276464,32,32.08150943,579.9091558
0xd281F988242C900d67fF2aafABe683B8004Ee778,277207.0905,268.0510641,170,170.4330189,438.484083
0x6Cf9AA65EBaD7028536E353393630e2340ca6049,374233.2992,361.8725405,0,0,361.8725405
0x4a39beD3F97ac8e4774b7407dE7090E7A1050A69,264565.9679,255.8274722,26,26.06622642,281.8936986
0x60eD33735C9C29ec2c26B8eC734e36D5B6fa1EAB,99231.29381,95.9537285,185,185.4712264,281.4249549
0x84Ef9d47a2B1cbFC2F011F886287Ef44F08c80ab,246367.2218,238.2298225,0,0,238.2298225
0x6994ba66FD6789044c4aD43786CC16840d099C8a,147111.0474,142.2520353,95,95.24198113,237.4940164
0x8E3d6c8F591d73eBcF79810ebC4b3aDF829d2fB6,1405.858263,1.359423393,172,172.4381132,173.7975366
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,177309.5574,171.453102,1,1.00254717,172.4556491
0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,101592.0655,98.23652499,65,65.16556604,163.402091
0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,10000,9.669704467,143,143.3642453,153.0339497
0x9289e0156d908EDBfa616bc08f99b0AD77a55e05,2419.515897,2.339600368,150,150.3820755,152.7216758
0x60c4ae0EE854a20eA7796a9678090767679B30FC,908.2309324,0.87823247,144,144.3667925,145.2450249
0xbb73548A0e6F839fb58e9D59969Ba6AEdEcDF5f1,49962.45202,48.31221455,71,71.18084906,119.4930636
0x6021DB23296793f8D1e9CdF710b29356DAD1f4A5,0,0,109,109.2776415,109.2776415
0xc0AFEF712a1341cA78dA145B2AFAd346E8C3574F,91781.2572,88.74976327,19,19.04839623,107.7981595
0xD98695E2FCE07e908c9F523387b1b1f8Eb9d41EC,65037.81051,62.88964068,40,40.10188679,102.9915275
0xE4ea40377D1ecA80c5F6D060A18528f3f73b2B61,4.79E-05,4.63E-08,100,100.254717,100.254717
0x795f50722Cf5ad82F78Dda8dC8F7B235332977C3,4609.372602,4.457127084,92,92.23433962,96.69146671
0xf09D1acBF092EC47970a2aA9e16Bc658b2ECf15e,0,0,90,90.22924528,90.22924528
0x2848b9f2D4FaEBaA4838c41071684c70688B455d,55297.57843,53.47112411,29,29.07386792,82.54499204
0x17a3831B39cc557296d0C322f9C2D42C0b3A8F3f,0,0,82,82.20886792,82.20886792
0xC76b85Cd226518DAF2027081dEfF2Eac4Cc91a00,31292.32635,30.25875479,47,47.11971698,77.37847177
0x0c251946301468086e557760F55f2e0622Ef5FFa,50000,48.34852233,25,25.06367925,73.41220158
0xF0Bc763e0A6AF4784a36fa102220FF60eC651f9e,33008.39653,31.91814394,39,39.09933962,71.01748356
