Wallets,vGHST VLT,Gotchi VLT,Total VLT
0x551d3A37E1613E8b21f2AD613A01Bf97ec2d2389,0.031839653,4.137946903,4.169786555
0xCD05a3969c5158D658a9bDF3Ee6eBcC0712a0292,0.031847915,2.068973451,2.100821366
0x82E9B5B3F64b424d00e554fD1CCD24D7e62B22Db,0.031880397,2.068973451,2.100853848
0xBf8aB1e63A9b883A6B5A396cb5A36138af6E020A,0.035345696,0,0.035345696
0xcfbc091F167bBa962790E23Ee2DDA557938b8BAf,0.035345743,6.206920354,6.242266097
0xE1bCD0f5c6c855ee3452B38E16FeD0b7Cb0CC507,0.035347404,0,0.035347404
0x04C873241fe90e09CEaa93CDab3cC5C55ab863Cd,0.035347992,0,0.035347992
0x5AA59e166E4405C05ABF85AD44A8ED84A1d51a06,0.035375499,2.068973451,2.10434895
0xfe0D666e2B1A69d57475C4D516AF1fD47FD2173c,0.035377322,4.137946903,4.173324224
0xB306E2DABC78cC94559c6b39769c254068E180Fa,0.035388,2.068973451,2.104361451
0xa33Aa58FD2795eA89a84C19CACDad50915194980,0.035397568,0,0.035397568
0x70d545fB144Db628f7Ef75cb7Bc2a3E80d1798fC,0.035424568,0,0.035424568
0x73c65A848607560345d363848a94862cdD26a3d4,0.03548716,4.137946903,4.173434062
0xdCDc977e90Ad7980d8BbA4090dbB0EB70530B845,0.036097194,0,0.036097194
0xE83B9A1B9056B21a01b85162E77AD76a42A1c64B,0.036514893,0,0.036514893
0xDF97540FD25F355bA8eD53A9eBBe3D7a3b37ee44,0.038474667,2.068973451,2.107448118
0x15252F0327D916Be16b4FE23a6e846c223fE9CdE,0.040662194,0,0.040662194
0x0030B9F1925408D79be83C7cecfffdbACb638e9B,0.043541092,4.137946903,4.181487995
0xFfF6b41a29881fC97bD6E8778529B1E37597d94a,0.045630601,0,0.045630601
0x49e37446d862D0E29934aAF51Cdb128f9c9cA4bA,0.052821512,6.206920354,6.259741866
0xCd8Eddd0A27047D53D65f23D483A8A169D54526B,0.053067093,18.62076106,18.67382815
0xF5647bEaBA520C2BD06eD77212E22aF093FE70E3,0.067072609,0,0.067072609
0x006be8Ae03459bCd73DaEDA911dE34Bc98F387A5,0.067087299,0,0.067087299
0xE4E98E007e5A4A5a73a4BA2254efEaaE131CbC04,0.067234722,8.275893805,8.343128527
0xB8aaFBE4999Ca1057e26DcF7B1470070c3101ba5,0.070695762,0,0.070695762
0x5039E2936ec2a588CaD92E4EDCf41a1D3a443186,0.070751816,0,0.070751816
0x37fD5Ad757C529a88F144d9D5F72dF8AE3083049,0.070754293,0,0.070754293
0x2848b9f2D4FaEBaA4838c41071684c70688B455d,0.070935172,4.137946903,4.208882075
0x6a7e0209AFAf36119F856c32E873c6E223dAC523,0.074775123,0,0.074775123
0x92CB71850Aa43263EBaAa1E0ED3E78Cb984915Ff,0.077472021,2.068973451,2.146445472
0xed50Ae645CB182D97e9cd59c7E939a09d54E70Da,0.07776598,0,0.07776598
0x002E7eA05D6721A04cD36ab5E9f2c72338d7f7f3,0.081300797,0,0.081300797
0x4F086538EA410fe7aD1fd369E586cf39DCCA024D,0.087136091,2.068973451,2.156109542
0xa4D8854dB6e5405eef75da8B401Da7D7c713787f,0.088366315,0,0.088366315
0x86d0b57d59e67a57623fd0119aE141Db1140ff79,0.088424264,0,0.088424264
0xf5a8E355621E487c1E2F2D55f0070a084427661F,0.088498155,0,0.088498155
0x1F751b1da0e87B6372d7bE92106b6239fa7eFc60,0.092269129,0,0.092269129
0xaA983Fe498c300094B708c3B48deDE9bd91A0183,0.097045968,4.137946903,4.23499287
0x6Bfc2cc988C513A481607777990F7799E84B1442,0.106043306,0,0.106043306
0x100EF369bcbC42e47B712CC6E29eaF141F70443E,0.106217385,0,0.106217385
0x005f16f017aA933bb41965b52848cEb8ee48b171,0.107039043,0,0.107039043
0xa53c56EE83B2f0Cf3D00B360FF79eAd4d7A3a663,0.109088647,2.068973451,2.178062098
0xc0A9281B18FBff16019f497be053cc9864047347,0.109478551,0,0.109478551
0x48AacA81C945e1E84da4d662E0De579522BEF4C6,0.116736874,2.068973451,2.185710325
0x883A5Ed5ea342F1d14695d8A0CfaDa210466de37,0.123525839,0,0.123525839
0x495Def9Bf5ca8B6B855784A65cF1E7C27081bEEa,0.123816484,2.068973451,2.192789935
0x531C30b870fb23FbFC31e7D06cAC342f3B2D9840,0.127252371,0,0.127252371
0x9DA27A8692A96F1002c548DFcD9381E6157De4E7,0.130460792,0,0.130460792
0x6F3d718e611C6B8D18656923D0FbCeB59A3221A8,0.130963899,0,0.130963899
0xb7aD24ef67E01c5a353477Abf81E867cAb48A132,0.13224069,0,0.13224069
0xA64a287F973700388C631378067Ab8F01618514d,0.140049331,0,0.140049331
0xec13489D022102dDE8234d8C22b25b0BEd2E7B54,0.140544443,0,0.140544443
0x54966bA0beF2e7aC9E3fD83c7e44C5Fd47B4d8e9,0.141221452,0,0.141221452
0xa930042ED3c445CddE4566751F304A0bb25dB33A,0.141393582,0,0.141393582
0xf85e13C32734eA54Ec31BE5C9b3E6ED0ae40cBad,0.141560553,6.206920354,6.348480907
0xF18da6a854c715e2a6Cc74C3f12c9c2417ee3312,0.153159809,6.206920354,6.360080163
0x968f1d35f721606d8079e42670b6D153CD4626F6,0.158899452,0,0.158899452
0xaCf87623Ce89e5b0976D137406D77B271F31C422,0.159458132,0,0.159458132
0x0ed2442C03091BD58Cf49710D793a634FF695B7d,0.165068847,0,0.165068847
0x99c2880092d24ebA9ef37e96ECF1B36e6c9278Cd,0.167151025,0,0.167151025
0xC1c1d9b640A87a38b0C6dCAa045C747676d0E8E8,0.17033613,0,0.17033613
0x5Cb4dB7c9f48A97115E8ADA31D0E974F36d8Fd49,0.171045544,0,0.171045544
0xd74428cCdf2d1f5fe5Ae660C970F1f24c5907046,0.172552674,0,0.172552674
0x237F1Cb9C39fF08D7C3127749Cd82e2967fb38BB,0.176752573,0,0.176752573
0x4c1Fd4e71E38bDaE5cc0dBce263dBb6Be018B6cB,0.176916865,8.275893805,8.45281067
0xFA7Bd4B2b8Ec60b35d881131f71D364A76cAd888,0.176944372,0,0.176944372
0xD952fB344DDAcC0c0e8c23cc686C10d5Dda11A97,0.176944372,8.275893805,8.452838177
0xe73C22aFA04271bd351eD38981F364c2Bb4c978b,0.176970748,2.068973451,2.2459442
0x8EA8721F27eFcAaBB3901Ed6756505Ab873F15a7,0.178303224,0,0.178303224
0x11cF16447f9312B4fFd1c99C4390dF04CC8e33ac,0.179329175,2.068973451,2.248302627
0x249880A80769b060A9CaaaaDd2CFf1c2F9072150,0.183916542,0,0.183916542
0x7Ceb9F8cEb7f6ffBa4897a72883C4a9C0a241EB5,0.19276855,2.068973451,2.261742001
0x4Edf18EF30760e5d6500B789c9Ed37D5CD6B2264,0.197882009,0,0.197882009
0x79d29F42b32ed8d77A1eECbAB3084912bbA55DaA,0.20346424,0,0.20346424
0xD94d15D519F020af8dDC6654C374c19ea025a3B6,0.217668081,2.068973451,2.286641532
0x9730299b10A30bDbAF81815c99b4657c685314AB,0.219899033,0,0.219899033
0xDA9890c4d573fe27f79C0665ae7E740c6a11412F,0.221866212,4.137946903,4.359813115
0xaaD8F4b64EdDa413ab113FDb475Be706e2503478,0.231682586,0,0.231682586
0x9c92C1ef6606396B8dE0D0620A4Dd37f7c0A7527,0.232262968,0,0.232262968
0xa605c28Fad3E79B93B0003379b1A766Ee798E93A,0.250821308,0,0.250821308
0x24435Da3AcBAe0532b2Fb12839a938A78B32911C,0.262050269,0,0.262050269
0xa59e113fbef3B4129bAef6b5355dFf683851aFA7,0.267106611,14.48281416,14.74992077
0x33Caf1E780FC8a92247F42A220cAEAFdE3B5D553,0.2816842,8.275893805,8.557578005
0x10f22cf62CB5a88e86F844Dd21674f757057C30c,0.283013265,2.068973451,2.351986716
0xAF51e6E946263e1d7B474073ee64EA0c5Bc01dA9,0.283521763,2.068973451,2.352495214
0xf47462597741c21032e36F6299422818ee67615b,0.310853884,0,0.310853884
0x60A6d0d70046BaD24C50D93Db91218987C265D86,0.334563423,2.068973451,2.403536874
0x209cC72C78999A4536Df882D969e49029605cd04,0.338704195,0,0.338704195
0x4d39a1758e3f5008123F81D4c1d2fbAA6Ee27Aae,0.339618596,0,0.339618596
0xCD8b301Ed7AD1B3Ad31c144023D75b1B8a5021fb,0.339647883,0,0.339647883
0xd07f70Dd326A34a00961139458d86c6A30FcdCA5,0.339808611,33.10357522,33.44338383
0x6b6f5e6a8167d72ac8951aC89E9d490A63912945,0.339903242,10.34486726,10.6847705
0xc31372dB84e456193e72a162928539C8F5999Ff6,0.340386731,6.206920354,6.547307085
0xA839199aC9Ae19b15265659e45C60B67bcA1B477,0.343185211,0,0.343185211
0x9E3e4F6535C7d20853a271f4F45A81fDED8C7DAA,0.346817715,2.068973451,2.415791166
0x1CBd483CDa3AeADCC668be6e1252B01Bf3824411,0.348650527,4.137946903,4.486597429
0x7Ac90F34185a32Bcd8fD74c20d54fb540d76eA07,0.349745508,2.068973451,2.41871896
0xa865fF51D15dcAc4973F73E13A8656ac3E748720,0.352147784,2.068973451,2.421121235
0x36eFd9914d30b16575429516bfFf0f196062DCe9,0.353075135,0,0.353075135
0xFb91A0D6Dff39F19d0Ea9c988Ad8DfB93244C40b,0.353776239,0,0.353776239
0x7909759B82EB27aB3Cc886C5f3fCE3A72a565b39,0.353776239,4.137946903,4.491723141
0xB9301C0001065de513aA0cf1bAea9efB58A2E775,0.353801736,8.275893805,8.629695541
0x3e05FC835a92fa1AD481C623d1F5097BFd55Bb18,0.35405795,2.068973451,2.423031402
0x5Fc75cbbCdDf4398c5c2949a5736e299C1440576,0.354119557,0,0.354119557
0xd949B19355f86cED38aAa7B58630404aC46e9B7b,0.354272455,0,0.354272455
0x172d7a92660006eBecb125c712FA0Fe9dd53e106,0.354675859,10.34486726,10.69954312
0x00553b963DE06016C68681C9BEE10A79c51c5D8A,0.35487188,4.137946903,4.492818783
0xEf4a6681Fbfa02b677B4e09b595ff94D8d794C6d,0.355953088,0,0.355953088
0x25612e8bd7683De22dA45D717D0493B0e96424b4,0.357513199,2.068973451,2.42648665
0x0EaC8004975d60eD458FDC3290f819C5CbEAD43c,0.360530679,0,0.360530679
0xc99333906D6D3A854f819617f6eF48870ae78435,0.361396181,0,0.361396181
0xcEf5aA3DfcE54388f477d0f6b6428729368f17C9,0.376706355,0,0.376706355
