token_type,token_address,receiver,amount,id
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,982.6307938,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0xd281F988242C900d67fF2aafABe683B8004Ee778,661.2131594,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0x60eD33735C9C29ec2c26B8eC734e36D5B6fa1EAB,440.3276313,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0x6994ba66FD6789044c4aD43786CC16840d099C8a,433.3817336,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,368.8448659,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,253.6812064,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0x60c4ae0EE854a20eA7796a9678090767679B30FC,211.2790811,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,193.136824,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0xC561C9b7035732B4EbDbAe6aC43D6a293aB53896,191.1440938,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0x4a39beD3F97ac8e4774b7407dE7090E7A1050A69,178.4795797,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0x6021DB23296793f8D1e9CdF710b29356DAD1f4A5,161.3890179,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0x795f50722Cf5ad82F78Dda8dC8F7B235332977C3,133.815048,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0xC76b85Cd226518DAF2027081dEfF2Eac4Cc91a00,131.455365,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0x5e672Fe3264aB1947177AAca2aDD08a537c31c75,109.1279196,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0xCe9332f4d44e9Efccc64f88C9bD23E288c0ae5a2,103.9293094,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0x0c1fD8441C36b288eC0F77E12cA8bA27a27b28bF,103.7609339,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,100.3676519,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0xf2B9ec5724dC97362A53907c0b4cc0AA72369e63,99.04637972,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0xa33Aa58FD2795eA89a84C19CACDad50915194980,82.86370933,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0xF0Bc763e0A6AF4784a36fa102220FF60eC651f9e,81.5888819,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0x2957dFa6C3CD17810E6F77Fd9b14aF1F27fdACc5,78.13340949,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0x33f844352144a9DDd91542b0adCD8Ba0dD142e93,77.85200484,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0x79bF225FBfd40f78B1878A6d1EeC1Bb03dF92AeB,66.02278004,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0x2848b9f2D4FaEBaA4838c41071684c70688B455d,63.69803834,
erc20,0x6e14790535C04b1A58592FBEe6109D9bc57a51aD,0x0Bb75bEf057da63a0ae4B25fe9aDaFd35cd92B87,63.30488628,
