Address,vGHST,vGHST VLT,Gotchi,Gotchi VLT,total VLT
0x77427023E70Cafd983dABaF3488D8D83ECB15b96,0,0,18,26.40911202,26.40911202
0x9ff84B91998dF96A6587DB8dDe8D4E47518107d6,12390.61158,25.66994188,0,0,25.66994188
0x5039E2936ec2a588CaD92E4EDCf41a1D3a443186,2298.631677,4.7621331,14,20.54042046,25.30255356
0x8565faab405b06936014C8b6bD5Ab60376Cc051B,12159.16131,25.19044052,0,0,25.19044052
0x4177a5c0E2369F6830A4c3825aFc8fB3Dd47790D,2861.423659,5.928083413,12,17.60607468,23.53415809
0x08f214ECD776cc89f89A65c2Daa62A3aB5191A2E,11153.97467,23.10797006,0,0,23.10797006
0xD52A4333Bd8cc9AB3C77Df19DeD4900b7849A07d,5936.277503,12.29833551,7,10.27021023,22.56854574
0xCC6a751a0E644b445984D74f176E9bABF46B2a97,10111.22132,20.9476717,1,1.46717289,22.41484459
0x60523Cd3F5CF0061C6f042545371Fa6ff8cD397B,160.4173565,0.332340675,15,22.00759335,22.33993402
0x10e11E6443904faF15cdb944f3E99C321Ccc6199,6.24446E-05,1.29368E-07,15,22.00759335,22.00759348
0xdAc12B6ddBF055eE542f0Ed460a32D1e9F361ca4,9874.195167,20.45661865,1,1.46717289,21.92379154
0x1A760e3A431c8B9C075eD1280C8835a1a0F1651b,3484.066779,7.218028837,10,14.6717289,21.88975774
0xF7B10D603907658F690Da534E9b7dbC4dAB3E2D6,9969.509705,20.65408418,0,0,20.65408418
0x8f9bE4310f9AbB0E5843Cc6363908C9B01dfeB3F,9969.430023,20.6539191,0,0,20.6539191
0x88512CfC901ADB8E17a143310700d6C4BF036F6a,9884.530139,20.47802988,0,0,20.47802988
0xE7793581460b2c5C088Ae0D6465DB6fCD33F3E43,5617.69982,11.63833011,6,8.803037339,20.44136745
0x1c9674667D8468204452c52D610a0883E97C22aD,9811.790664,20.32733367,0,0,20.32733367
0x0b3CEf9F913f4F08bba1ED0FD5BA892C0FeC5617,9595.773211,19.87980488,0,0,19.87980488
0x5317Ef9170f26112FBA458958889C15Af78dfCf7,778.5916803,1.613027981,12,17.60607468,19.21910266
0x8C9F3175d8aa227ecCdBc21B95bC5fA328006A0f,9261.20334,19.18666806,0,0,19.18666806
0x472d7E705f3baa44f82bFF5B397330015d810828,0,0,13,19.07324757,19.07324757
0xaB9786A5e330B50e44579132b8A3Cf7C1c3A9517,9192.989392,19.0453475,0,0,19.0453475
0x260EDfEa92898A3C918A80212e937e6033F8489E,8351.889807,17.30282032,1,1.46717289,18.76999321
0x7af4922fc22037D573e889201bE7C38E42f22220,1184.553134,2.454068542,11,16.13890179,18.59297033
0x6c8E15EC8e35b6ffb246d60AbcA2Ba81d4e247F4,8155.718028,16.89640631,1,1.46717289,18.3635792
0xa8bd174385B14F880F8b7F06894Cc1bF265Db32e,998.0954799,2.067779527,11,16.13890179,18.20668132
0xB27f6Df486ef5dEE2e3A4DC4f257DD63E5A5e371,2240.333265,4.641354812,9,13.20455601,17.84591082
0xCd8Eddd0A27047D53D65f23D483A8A169D54526B,70.68931471,0.146448832,12,17.60607468,17.75252351
0x5547e568705ed69440b499a2e0EB769c956FCE01,7921.646936,16.41147534,0,0,16.41147534
0xCC1e0A566dbd10869c071c811aBa436357858f05,4156.339265,8.610792667,5,7.335864449,15.94665712
0x934dff4d5e1a5138D9863F38ab959b07046Dba45,1995.249503,4.133608614,8,11.73738312,15.87099173
0x8f2E458791069494eaf3789A1eD8e0B69dBe8dbb,7581.486483,15.70675637,0,0,15.70675637
0x1d4ddCB0E96d99f417919Bc9c94b8348Dc837A32,1602.696152,3.320345956,8,11.73738312,15.05772907
0x59E5fe3a536d2fa69614E0A0692F5C6e3D6dCbfc,138.2957218,0.286510728,10,14.6717289,14.95823963
0x5477729b43A0A9beA8c41367C62e7864123B57d8,100.8764496,0.20898828,10,14.6717289,14.88071718
0x4eDb4161D16c89b71Aec027930a943c3d4cf0777,50.09425225,0.103781523,10,14.6717289,14.77551042
0xe5465CEd137EcF8c80bBf7A1e2f2bf457a12A466,2.242140099,0.004645098,10,14.6717289,14.676374
0x352aC32C9663FB7CAAC363F77B121c34D9ACb420,0.201802104,0.000418078,10,14.6717289,14.67214698
0x0a097a28a9ecdef27380bed164eEDca0561ACCfd,9.92185E-05,2.05553E-07,10,14.6717289,14.6717291
0x0BAD4eBfF09CEd8dFffC2D99eA04108E1AfAb8b2,0,0,10,14.6717289,14.6717289
0x50f461F471e7dCe973e27f0e319eBe868135D764,0,0,10,14.6717289,14.6717289
0x750e361EE017e398C922F2B634387ECff810DF6c,0,0,10,14.6717289,14.6717289
0xfbb073e09D84970d1eFe099aBBE9E626f8FF7024,0,0,10,14.6717289,14.6717289
0x43FF4C088df0A425d1a519D3030A1a3DFff05CfD,0,0,10,14.6717289,14.6717289
0x1dbF00bc3f40F551d79422a96367A6F58Ae59412,6241.271195,12.93019862,1,1.46717289,14.39737151
0xD153F676B14eC35461E652300cFC1599C0dAEBA4,1796.187609,3.721207078,7,10.27021023,13.99141731
0xAb2e11C99D8830D5d9B2494A565c974595e39eef,5312.202642,11.00542392,2,2.93434578,13.9397697
0x973efE3a49AA9257e2a5f1e7e866DF7e5ee96d8E,3860.17062,7.997212631,4,5.868691559,13.86590419
0xE1f987CB66D8F0Da79Cb0fE245500200bbFBA51E,6551.984634,13.57391147,0,0,13.57391147
0xf0Ecf448C3817Bd9bfc2D0D0dC41Ef568367506B,4944.859295,10.24438946,2,2.93434578,13.17873524
0x61477Eaa5E33400acC353390Ca001Be0Eb706eb4,179.900717,0.372704843,8,11.73738312,12.11008796
0x172d7a92660006eBecb125c712FA0Fe9dd53e106,99.9448428,0.207058246,8,11.73738312,11.94444137
0xc928499a080594C8854D1A46DCAe5E862acC5d08,4338.395074,8.987962268,2,2.93434578,11.92230805
0xae5b56ca47E84b6c749E0454680C4161B9DA9790,13.55428345,0.02808075,8,11.73738312,11.76546387
0xE08Fd80d7D0593a616c01A3F2A17bdC3206c71b4,8.43677E-05,1.74787E-07,8,11.73738312,11.73738329
0x59bdFB381CA2080D0D042903e776D3DCb548050A,0,0,8,11.73738312,11.73738312
0xc7a00B2635339d1C4EB7A22AC73f53b7a9bD0613,0,0,8,11.73738312,11.73738312
0x8B200F4c81c54d9014B4cDA3F16501069FA20Ab9,0,0,8,11.73738312,11.73738312
0x99F6d5197004FFe49e7b3C627EAd81CDc3A74283,0,0,8,11.73738312,11.73738312
0x7264E14a050fE6A383C654448FCc84d7A4b9eC94,0,0,8,11.73738312,11.73738312
0x4dAE5b5bf3dC068BDFEC47b8B402AFf28fe6707F,1357.538053,2.812445753,6,8.803037339,11.61548309
0x7a9A2FFA209C212e8c36e74FB209518E959F65dB,4134.307315,8.565148521,2,2.93434578,11.4994943
0x9b68185AaDEB867DEd2cf16E0d798D2D6A63eA01,3952.804757,8.189125104,2,2.93434578,11.12347088
0xdC7Aa225964267c7E0EfB35f4931426209E90312,5330.793375,11.04393881,0,0,11.04393881
0x956F1CE3ff2ea59A8b41DF83Ce9F85ED59D73F92,258.8527003,0.536271654,7,10.27021023,10.80648188
0x6794BDa8e07FAA690d6924B259992Ed354aeC9Bb,171.3736286,0.35503906,7,10.27021023,10.62524929
0x3FbacD52FA6F1F15Bc3D776474FdAB07ec9D8d59,5060.560925,10.48409144,0,0,10.48409144
0xa05f67c36cb5fE19Aca3fDb8b4671F4b2d46E421,5060.449785,10.48386119,0,0,10.48386119
0x628cC4601166a44e5378717790c8Da50de0cce9B,2927.641728,6.065269054,3,4.40151867,10.46678772
0x6B3bE6C88C8875168c694e57E62d1dE554Ee6902,796.0559364,1.649209119,6,8.803037339,10.45224646
0xa59e113fbef3B4129bAef6b5355dFf683851aFA7,75.2685234,0.155935694,7,10.27021023,10.42614592
0x5551fA79F15CA4592A3950372fD3d4EE8be7b5CC,0,0,7,10.27021023,10.27021023
0x7953bB4AFA683C36396Bee7Dd7d3647cF640B0d2,0,0,7,10.27021023,10.27021023
0x3c2262255793f2b4629F7b9A2D57cE78f7842A8d,0,0,7,10.27021023,10.27021023
0x984b148D106c204f2d1a84b0053477971e1DF56a,0,0,7,10.27021023,10.27021023
0xc976895017c81Ac926478C26c347BBEd202d0508,1414.863872,2.931209094,5,7.335864449,10.26707354
0x1d5BEdf6B017a282eb7446e86e7C2584E89Ef466,4944.76657,10.24419736,0,0,10.24419736
0x77f07Ab7B444C7C9FCfAfc76c053A810cD6203CB,2736.723119,5.669738166,3,4.40151867,10.07125684
0x3CF4E2F525C3e755c4aae97846379Ef703252288,4776.696524,9.896002414,0,0,9.896002414
0xE2C67350D0A0768De07E556073BeeEc0AE86a684,4710.67901,9.759232268,0,0,9.759232268
0x579ea3F1e0617Aa237E36C0501822b55bE8D84ED,1696.28197,3.514230051,4,5.868691559,9.38292161
0x6299dbe5BE8ED5d5DF9Ff5a21B485c7da0cF3476,276.3850269,0.572593817,6,8.803037339,9.375631156
0xa919538CeAb5c64608945865835dbC10540feB1D,4421.365532,9.159854255,0,0,9.159854255
0x4E8ffddB1403CF5306C6c7B31dC72EF5f44BC4F5,3677.771028,7.619330806,1,1.46717289,9.086503696
0xE4E98E007e5A4A5a73a4BA2254efEaaE131CbC04,18.94621117,0.039251343,6,8.803037339,8.842288682
0xA709f9904a4E3cF50816609834175446C2246577,4.935986144,0.010226007,6,8.803037339,8.813263346
0x10dF55eE5D2977F952f3f264b9e8218D699b36b1,2124.176606,4.400710139,3,4.40151867,8.802228808
0xC61b244fA2B83eFe9EF91dA7390CA5FC1cbb35B1,1362.753174,2.823250049,4,5.868691559,8.691941609
0xBf3FA037a65A6816623BB7fbf836E3540cd857AA,4187.157905,8.674640418,0,0,8.674640418
0xa1BbD8D39eD536DEa030A32F3F6C5916C845A800,616.4171318,1.277046887,5,7.335864449,8.612911336
0x70C9666B338795DdAb8f4bd67F580B1D9234b8Dc,1996.588272,4.136382176,3,4.40151867,8.537900845
0xA0cD89ebDD3c422925696Bb1baefb6c3eD21D8F1,4073.51511,8.43920378,0,0,8.43920378
0xa7687975c0Af79F9D821cd27fc01722a2eC0d8c3,4039.058446,8.367819042,0,0,8.367819042
0x7A8B10716E2e473a541E9E990e711651425E5413,2572.810486,5.33015624,2,2.93434578,8.264502019
