Wallet ,vGHST VLT,Gotchi VLT,Total VLT
0x4177a5c0E2369F6830A4c3825aFc8fB3Dd47790D,0.442831426,20.40384,20.84667143
0xB27f6Df486ef5dEE2e3A4DC4f257DD63E5A5e371,5.351320245,15.30288,20.65420024
0x934dff4d5e1a5138D9863F38ab959b07046Dba45,4.765906585,15.30288,20.06878658
0x1d4ddCB0E96d99f417919Bc9c94b8348Dc837A32,3.828243099,15.30288,19.1311231
0x5547e568705ed69440b499a2e0EB769c956FCE01,18.92185876,0,18.92185876
0x5317Ef9170f26112FBA458958889C15Af78dfCf7,1.640667783,17.0032,18.64386778
0x581dE43B0273915f61D015E394D2C6aF1F9ce8E6,11.25999766,6.80128,18.06127766
0xAb2e11C99D8830D5d9B2494A565c974595e39eef,12.68886999,5.10096,17.78982999
0x973efE3a49AA9257e2a5f1e7e866DF7e5ee96d8E,9.220507284,8.5016,17.72210728
0x750e361EE017e398C922F2B634387ECff810DF6c,0,17.0032,17.0032
0x50f461F471e7dCe973e27f0e319eBe868135D764,0,17.0032,17.0032
0x9ff84B91998dF96A6587DB8dDe8D4E47518107d6,16.16596572,0,16.16596572
0xc928499a080594C8854D1A46DCAe5E862acC5d08,10.36280707,5.10096,15.46376707
0xe5465CEd137EcF8c80bBf7A1e2f2bf457a12A466,0.005355636,15.30288,15.30823564
0x0a097a28a9ecdef27380bed164eEDca0561ACCfd,2.36996E-07,15.30288,15.30288024
0x6794BDa8e07FAA690d6924B259992Ed354aeC9Bb,1.487409924,13.60256,15.08996992
0x5e16073080f5886f9C79FF5f0462ec938eAaFFa9,4.639596133,10.20192,14.84151613
0x9b68185AaDEB867DEd2cf16E0d798D2D6A63eA01,9.441775673,5.10096,14.54273567
0x2D5f86cd294cA6c92189340EaEFf41fc63Dc66EF,2.381359657,11.90224,14.28359966
0xE08Fd80d7D0593a616c01A3F2A17bdC3206c71b4,0.612180714,13.60256,14.21474071
0x61477Eaa5E33400acC353390Ca001Be0Eb706eb4,0.429715687,13.60256,14.03227569
0x628cC4601166a44e5378717790c8Da50de0cce9B,6.993043711,6.80128,13.79432371
0xae5b56ca47E84b6c749E0454680C4161B9DA9790,0.032376126,13.60256,13.63493613
0x5477729b43A0A9beA8c41367C62e7864123B57d8,0,13.60256,13.60256
0x99F6d5197004FFe49e7b3C627EAd81CDc3A74283,0,13.60256,13.60256
0x8B200F4c81c54d9014B4cDA3F16501069FA20Ab9,0,13.60256,13.60256
0x4dAE5b5bf3dC068BDFEC47b8B402AFf28fe6707F,3.242651877,10.20192,13.44457188
0xdC7Aa225964267c7E0EfB35f4931426209E90312,12.73327632,0,12.73327632
0x7fBD1E4C9449C2443E0AD17537d77645bd23cC21,3.890100196,8.5016,12.3917002
0x4E8ffddB1403CF5306C6c7B31dC72EF5f44BC4F5,8.784822717,3.40064,12.18546272
0xa1BbD8D39eD536DEa030A32F3F6C5916C845A800,1.881375411,10.20192,12.08329541
0xa59e113fbef3B4129bAef6b5355dFf683851aFA7,0.179788418,11.90224,12.08202842
0x7953bB4AFA683C36396Bee7Dd7d3647cF640B0d2,0,11.90224,11.90224
0xD153F676B14eC35461E652300cFC1599C0dAEBA4,0,11.90224,11.90224
0xc976895017c81Ac926478C26c347BBEd202d0508,3.379581867,8.5016,11.88118187
0x10dF55eE5D2977F952f3f264b9e8218D699b36b1,5.073865328,6.80128,11.87514533
0xf0Ecf448C3817Bd9bfc2D0D0dC41Ef568367506B,11.8114238,0,11.8114238
0x1d5BEdf6B017a282eb7446e86e7C2584E89Ef466,11.81120232,0,11.81120232
0x6B3bE6C88C8875168c694e57E62d1dE554Ee6902,1.324899375,10.20192,11.52681938
0x8565faab405b06936014C8b6bD5Ab60376Cc051B,11.3442464,0,11.3442464
0xE2C67350D0A0768De07E556073BeeEc0AE86a684,11.25205448,0,11.25205448
0x7A8B10716E2e473a541E9E990e711651425E5413,6.14548427,5.10096,11.24644427
0x579ea3F1e0617Aa237E36C0501822b55bE8D84ED,4.0517847,6.80128,10.8530647
0x6299dbe5BE8ED5d5DF9Ff5a21B485c7da0cF3476,0.416178483,10.20192,10.61809848
0xa919538CeAb5c64608945865835dbC10540feB1D,10.56099253,0,10.56099253
0x41Ade9A5803B4676917411Dbb439D357965dBf46,5.150677251,5.10096,10.25163725
0xE4E98E007e5A4A5a73a4BA2254efEaaE131CbC04,0.045255429,10.20192,10.24717543
