HolderAddress,Balance,PendingBalanceUpdate
0x1f0aa72b980d65518e88841ba1da075bd43fa933,1954618.239,No
0x84ef9d47a2b1cbfc2f011f886287ef44f08c80ab,246367.2218,No
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,177329.3574,No
0x6994ba66fd6789044c4ad43786cc16840d099c8a,144035.431,No
0x60ed33735c9c29ec2c26b8ec734e36d5b6fa1eab,99231.29381,No
0x62c239f8f0999de6bbee0704bc888be30a248c0a,60214.52582,No
0x5e672fe3264ab1947177aaca2add08a537c31c75,52674.90169,No
0xdb9d281c3d29baa9587f5dac99dd982156913913,49665.50985,No
0x0c1fd8441c36b288ec0f77e12ca8ba27a27b28bf,49376.12505,No
0x4a39bed3f97ac8e4774b7407de7090e7a1050a69,37683.35895,No
0x2957dfa6c3cd17810e6f77fd9b14af1f27fdacc5,35589.61001,No
0xd98695e2fce07e908c9f523387b1b1f8eb9d41ec,35141.75608,No
0x33f844352144a9ddd91542b0adcd8ba0dd142e93,33578.34581,No
0x3f7c10cbbb1ea1046a80b738b9eaf3217410c7f6,26159.1395,No
0x9fba5259a1a4654212849e87cfdf5b28d5bbcb5e,25660.83003,No
0xe5465ced137ecf8c80bbf7a1e2f2bf457a12a466,24827.19376,No
0x1163e75d2bf3e0ffdb3602fbe0aba099d5c20e3c,20978.37139,No
0xd757f002d43dcb8db9a4e43a8350aa8cccdc4e4f,20360.13376,No
0xefb3141ff2cc4bacc32274560f67ce44a02b47a2,19208.54553,No
0xccc3ce05b1d1b4e4a72e2052b98b1de8e60593e8,18628.94952,No
0xe7793581460b2c5c088ae0d6465db6fcd33f3e43,17255.43503,No
0x156e6c5a2fac34bb2fcf2ac1bbaa0e75bde3ac4f,16220.91259,No
0x2c123fc5c27888571cd525e8ae9b0c5ff848386d,15161.53133,No
0x985116f8c174fe13325d36685424d1796cc11f51,14899.36393,No
0x64df7af696e0977771a0e1e1b1a8dd22ded3cf4b,13860.95893,No
0xbba31530cd8e112be845da468b72fbbfe739387a,12408.78798,No
0x4a32007040567190bed4fa6ff3f5a03c0d47c9d7,11488.30453,No
0xcc6a751a0e644b445984d74f176e9babf46b2a97,10111.22132,No
0xc0719b1040f7f8e904a6509f99335656c1d881ed,9997.657279,No
0x8f9be4310f9abb0e5843cc6363908c9b01dfeb3f,9969.430023,No
0x88512cfc901adb8e17a143310700d6c4bf036f6a,9884.530139,No
0xdac12b6ddbf055ee542f0ed460a32d1e9f361ca4,9874.195167,No
0xb2ac25160796b5e384edc1fd8f4479a020c1b53c,9370.551812,No
0x6c8e15ec8e35b6ffb246d60abca2ba81d4e247f4,8155.718028,No
0x6fcf9d80e2b597f4b3fa764b5626f573a9fc93d3,8078.534717,No
0xab2e11c99d8830d5d9b2494a565c974595e39eef,7766.914386,No
0xc338f8f06aa7bebbcc3660f096771d159db346cf,6396.253483,No
