Wallet,Balance,Type
0x1F0aa72b980d65518e88841bA1dA075BD43fa933,1954618.239346346953686562,contract
0xDBD30B8A960264a5d0aF925666199320AE3e629d,2675.930623877216157593,contract
0xD390Fc3C23AB8C8bD20416F1ABcaac05637AC501,640.075808448849278009,contract
0xbE1505483148122424cD67AA7F956362Ee5e3F47,581.900604168713134679,contract
0xF5Be11915496F1f4EbE822943A537ba396a88eE2,445.533252741794802422,contract
0xD1D7eB1D3cfE65D5597f8185E76353DdEea5199C,432.753005615964815286,contract
0xc3eE951D510aAb239a5bAf329086Dd10a6a80629,399.305951014063409915,contract
0x78E70c3FBA6c44c562E50c8fEc9b1871Cb1A3F8D,264.418320124223318555,contract
0x2df3785D05A39A6E9d61100f79380DaB380240a3,229.784171213026413894,contract
0x17c329410827c44773143be72Cf0eaf54DbD59d1,228.687952065464278577,contract
0x139267b135942416E1d2D9CB8E67b8A4ff213557,226.545981621419515332,contract
0xA4C34d2417818F5C9c3519164AB9658989624e05,220.417812513503085451,contract
0x9DF0b9794b7fE8aB2A1e075e72472b490E7E18FE,193.901766457773801666,contract
0x9Daf567D017D577a5F35f8cAf72b64b323EbB44A,191.227681838210762244,contract
0xEfbc59a62D3cdB3CC8b9395b8e7010f59E5e01BB,144.723118288626694165,contract
0x44a6a4782f93cC56E2052205ceb0D1295DafC0C5,128.404206311361534134,contract
0x6bbaf3cA8E5E2F4ea00fC602cEc9c174C3F9956C,128.069026832808650505,contract
0xc4e2CBb8d0B71A1621AF3416eFF2eD8c2999b4Af,119.663913889045783395,contract
0xa81f1d717712F340bff0C3491F15C003f18082a8,117.902198261891245264,contract
0x087E1C7AD9F3A0F6A9B3a3ed0D9B73e89c155D1A,113.712789495567339698,contract
0xa787A7aAb2Fd70aE018F1458894f104138733958,109.015189298385669892,contract
0x1960FCf4F922267851BD217C575b71F6F1332580,100.763110638920986315,contract
0x5Ba7c72F7f3EAB017110a1D5eD3739c815d43845,97.933727855389261742,contract
0xDa4d4520F337088Ab2a5868eAF378A7dAdA42127,96.754981297592415310,contract
0x589f2CF9f10cc216D4E57774b54FBbAC4461B079,96.436355531135160221,contract
0xe905017ac1998d7524f6d16B9137eCa888Bf11d7,94.765393943920228584,contract
0x74859a58128b6Ae611ECFCe7D7E879Cd377e4B6e,90.334358057002132765,contract
0x1D968Ee3e3a5CBb4A08aE313e2e1Bf4eA53Cb0F1,85.964587818294378915,contract
0x28E5EC4Dc91de2e54718B30d3B4b185e81b6A78c,85.211858816707416058,contract
0x3EcF2b1D634269cf0820a0f4CeE46DB24fB8E87d,84.699703904070712356,contract
0xB8147AB14838B7B97EebEF0c99E68707F7E98fF2,84.346203958218586409,contract
0x32991098b0576cA339b9340e72C4CcC92cDf7ACE,80.263996819672599054,contract
0x7A66B404F34B389C8252715f9e86A8CA76174AB2,79.230076023968204066,contract
0x45fF65bbfF2865E254e9297a26924E8028032296,78.897622966637644529,contract
0x6D9326582389931cfD5096c1962567C0C9023372,77.304049141405292452,contract
0x6AB1F37e72Cc01968e321730E64aD0fD6E70Dd45,75.396653475113276197,contract
0x3a74559BB28CF3Cd19bD5C2dD0cA91e1682c7A94,68.230482889314825336,contract
0xe6E252497ba00582a639337556cA752FBd042427,67.192614492593975236,contract
0x1A3A26b655304C6635974eb444BEfbEA11ECc860,66.959594124680685818,contract
0xB369b72cCfEC74d757E7f6a3C03925a910474C08,66.181904153708687639,contract
0x667A91C86b8B42Adc991dd53DF6DFb430dE647A8,65.380635795709047105,contract
0xA27F63AE40C30096D64E542e2a8E0226f7Acf026,64.366680749758197423,contract
0x02b0e4534F278b3cabD0D0B4253bbF1a2934347A,59.534987928597657863,contract
0x58a4799F6973ea5acE27735E3cBDEe198DedD957,57.488033506588484667,contract
