Wallet,Balance,Type
0x1F0aa72b980d65518e88841bA1dA075BD43fa933,2879035.379,contract
0x6Cf9AA65EBaD7028536E353393630e2340ca6049,344233.2992,contract
0x84Ef9d47a2B1cbFC2F011F886287Ef44F08c80ab,246367.2218,contract
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,177216.5574,contract
0xdb9d281C3D29bAa9587f5dAC99DD982156913913,49665.50985,contract
0x0c1fD8441C36b288eC0F77E12cA8bA27a27b28bF,49376.12505,contract
0x2957dFa6C3CD17810E6F77Fd9b14aF1F27fdACc5,35589.61001,contract
0xbb73548A0e6F839fb58e9D59969Ba6AEdEcDF5f1,20005.49216,contract
0xcCc3cE05B1D1B4E4A72e2052b98B1de8E60593E8,19121.47007,contract
0xCC6a751a0E644b445984D74f176E9bABF46B2a97,10111.22132,contract
0x8f9bE4310f9AbB0E5843Cc6363908C9B01dfeB3F,9969.430023,contract
0x88512CfC901ADB8E17a143310700d6C4BF036F6a,9884.530139,contract
0x6fcf9D80e2b597F4B3FA764b5626F573a9Fc93D3,9085.198728,contract
0x6c8E15EC8e35b6ffb246d60AbcA2Ba81d4e247F4,8155.718028,contract
0xD52A4333Bd8cc9AB3C77Df19DeD4900b7849A07d,6770.228643,contract
0xF4aa396BC7f3a57a82CA01270D43d21C26B35787,6241.239443,contract
0xCe9332f4d44e9Efccc64f88C9bD23E288c0ae5a2,5916.453359,contract
0xdC7Aa225964267c7E0EfB35f4931426209E90312,5330.793375,contract
0x1d5BEdf6B017a282eb7446e86e7C2584E89Ef466,4944.76657,contract
0xdAc12B6ddBF055eE542f0Ed460a32D1e9F361ca4,4874.195167,contract
0x6186290B28D511bFF971631c916244A9fC539cfE,4766.856555,contract
0x22Ff9461516c38dcBB23227e3ba6e2905820d0Fc,4402.831704,contract
0xBDc7a955505e20410061744f556f6dEC761Bfb8f,4113.982786,contract
0xA0cD89ebDD3c422925696Bb1baefb6c3eD21D8F1,4073.51511,contract
0xa7687975c0Af79F9D821cd27fc01722a2eC0d8c3,4039.058446,contract
0x973efE3a49AA9257e2a5f1e7e866DF7e5ee96d8E,3860.17062,contract
0x4E8ffddB1403CF5306C6c7B31dC72EF5f44BC4F5,3677.771028,contract
0xC144e32f2a0DB6507fDdfA630628b80468c05B75,3544.765566,contract
